reviewHeadline,authorJobLocation,reviewDescription,company,compensationAndBenefitsRating,authorJob,cultureAndValuesRating,workLifeBalanceRating,careerOpportunitiesRating,seniorLeadershipRating,reviewDate
No commitment to US,"New York, NY",Poor leadership and no communication from executives in Paris.  The business groups here in the US were secondary to the European ones.  There was never clear directives on what our goals were and the resources were to committed.,BNP Paribas,1.0,"Head of Commission Management (Ancien employé), ",1.0,3.0,1.0,1.0,26 mars 2016
Brilliant one of the tops international investment bank,Sydney NSW,"Brilliant one of the top international investment banks, always provide opportunity to new people who lack of experience and keen to learn. Good team working culture and specific management hierarchy.",BNP Paribas,3.0,"UUT, Internship (Ancien employé), ",5.0,3.0,3.0,5.0,21 mars 2016
Review,"San Jose, CA",Good place to start one's career and learn customer service as well as best practices to begin a sales career. I worked here during my college years holding various roles including teller and financial representative.,BNP Paribas,0.0,"Licensed Personal Banker and Branch Manager (Ancien employé), ",0.0,0.0,0.0,0.0,15 mars 2016
Fun place to work,Mumbai,Great Place to work!!!You learn about multitasking with a lot of focus on you to grow.Team work is exceptional.Lot of team building sessions help encourage best out of each.,BNP Paribas,3.0,"Associate (Ancien employé), ",5.0,5.0,5.0,4.0,14 mars 2016
An amazing IT Staff that is under Valued,"New York, NY","I love working at BNP. They were flexible, smart, funny, kind, hard working, and very talented. The place was always clean and the work was always straight forward. Sometimes it was slow for me because of how quickly I work and preview experience form Apple placed me into a high work environment but it is a nice place to work.",BNP Paribas,3.0,"Project Manager/Technical Lead (Employé actuel), ",4.0,4.0,2.0,5.0,9 mars 2016
My experience,Antwerpen,"it was such an amazing experience to work at paribas. ,it was so organised, tasks are clear, although im not a banker, i learned so much, how to organize,following up with client, public relation and communication.,my colleagues were amazing, we had a great team, no issues among us,,I enjoy working there, becuase of work nature and the people around you,",BNP Paribas,4.0,"Business development Executive - Full time (Ancien employé), ",4.0,4.0,4.0,4.0,26 février 2016
A good enviroment for work life balance,London,"A good place to work. very good life balance. Company that take in consideration employee family life and commitment.,encourage job mobility, which allow me to work in different roles.",BNP Paribas,3.0,"Project manager/ BUSINESS ANALYST (Employé actuel), ",4.0,5.0,3.0,4.0,24 février 2016
my summary,"Newport, NJ",People are great to work with.  Co-workers are great and can learn a lot from.  The hardest part of the job is to make sure that the dead line have been met.  a,BNP Paribas,3.0,"VP Business Analyst/ Project Manager (Employé actuel), ",4.0,4.0,3.0,3.0,22 février 2016
Buen ambiente de trabajo,"Madrid, Madrid","BNP Paribas es una de las empresas líderes en su sector.,En el departamento de operaciones de comercio exterior en el que trabajo, el ambiente es muy bueno y he aprendido a controlar diversas operaciones bancarias que facilitan el comercio internacional.",BNP Paribas,0.0,"Técnico de operaciones de comercio exterior (Employé actuel), ",0.0,0.0,0.0,0.0,17 février 2016
Foreign Exchange Sales,"New York, NY 10019","•	Institutionalized and leveraged existing market contacts into dealing bank clients.,•	Served as a member of a global team of foreign exchange sales professionals covering leveraged, corporate, and commodity trading advisor accounts.",BNP Paribas,5.0,"Vice President Foreign Exchange Sales (Ancien employé), ",5.0,5.0,4.0,4.0,16 février 2016
Good working environment,Glasgow,Good place to work.  More of a relaxed culture being a French company. More training facilities would be beneficial and flexibility to move around the company,BNP Paribas,3.0,"Business Control Analyst (Employé actuel), ",2.0,5.0,4.0,3.0,5 février 2016
Mostly a good experience but management needs work,"New York, NY",BNP was a good place for me to learn but management was never really reliable they never seemed to know exactly what was going on.,BNP Paribas,3.0,"I.T. Manager (Ancien employé), ",3.0,4.0,1.0,2.0,4 février 2016
Great Work/Life Balance,London,"A typical day would start at 6.30 and finding out what has been happing in the financial world overnight. Then one would start trading at 8 until 4.30pm when the European markets close. ,BNP has a good work/life balance and they give importance to personal commitments. Co-workers are fun and relaxed.",BNP Paribas,4.0,"Senior Vice President (Ancien employé), ",3.0,4.0,3.0,3.0,2 février 2016
A very professional setup,"Mumbai, MH","Highly structured and professional setup, a very well laid hierarchy. Great place for hands on experience. ,Limited independence to experiment and think out of the box.",BNP Paribas,4.0,"Software Engineer (Agile) - Oracle, Java Developer (Ancien employé), ",4.0,4.0,4.0,4.0,31 janvier 2016
A very demanding yet rewarding working place,Bahrain,"I worked almost 10 hours everyday for 6 months, I still enjoyed it, my team mates were great, the management was easy going and cheerful, I managed to learn a lot in a short time.",BNP Paribas,4.0,"officer/Developer (Ancien employé), ",5.0,2.0,4.0,5.0,30 janvier 2016
Productive and fun workplace,chennai,"My Day at Bnp starts with reconciliation of cash accounts.,Team members are very helpful.,Creates a new platform for al the employees to get cross trained on other process as per employee wish.",BNP Paribas,3.0,"Associate level (Employé actuel), ",3.0,4.0,4.0,3.0,18 janvier 2016
BNP Paribas,"New York, NY",Great European Bank with lots of opportunities in the US branch. Unfortunately my department has been outsourced otherwise I would still be working at BNP.,BNP Paribas,3.0,"FX Settlements Analyst (Ancien employé), ",3.0,4.0,3.0,3.0,12 janvier 2016
Muy positiva,"Madrid, MD","Por lo general jornadas de mucho trabajo aunque agradables por el buen ambiente del departamento y la buena coordinación con el resto de la compañía.,Toda mi experiencia en el sector seguros y asesoría jurídica lo aprendí en BNP Paribas Cardif , gracias a mi gerente y a los directivos que se ocuparon de mi formación desde el inicio.,La parte más difícil en ocasiones la presión del departamento comercial y la parte que más me gustó sin duda es todo lo relacionado con las reclamaciones de los asegurados.",BNP Paribas,3.0,"Administrativo Jurídico - Paralegal (Ancien employé), ",3.0,3.0,3.0,4.0,8 janvier 2016
Very nice working environment and team,"北京市, C22","The team stayed together late very day, everyone was hard- working and efficient. I felt comfortable being with them, and learnt a lot of from everyone.",BNP Paribas,5.0,"Investment Banking Intern (Ancien employé), ",5.0,5.0,5.0,5.0,4 janvier 2016
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Ambiente de trabajo agradable,Santiago,"Ambiente de trabajo muy agradable, con un grupo humano muy bueno.",BNP Paribas,4.0,"Jefe de Proyectos ACE (Ancien employé), ",4.0,3.0,3.0,1.0,18 août 2015
Great work/life balance,"Jersey City, NJ",Good work is recognized and appraised by the management.  The management will point them out in a positive way when there are doubts in terms of provided solutions for any issues instead of playing the blame game.  Limited red tape given the size of the company.,BNP Paribas,4.0,"Senior Software Consultant (Employé actuel), ",4.0,4.0,3.0,3.0,4 août 2015
Work culture,CHENNAI,"Work environment is exceptionally good, management is very supportive and friendly towards employees.,knowledge exposure is very good in process wise.",BNP Paribas,4.0,"Associate (Employé actuel), ",4.0,4.0,4.0,4.0,2 août 2015
Very busy,"New York, NY","very busy HR environment.  Worked with 10 plus employees, including HR Partners, HR generalists, recruiting team and Learning & Development Teams.",BNP Paribas,3.0,"Contractor (Ancien employé), ",4.0,4.0,3.0,2.0,27 juillet 2015
BNP,Jersey City,Tell us about: a typical day at work; what you learned; management; your co-workers; the hardest part of the job; the most enjoyable part of the job.,BNP Paribas,3.0,"Assistant Vice-President (Employé actuel), ",4.0,5.0,4.0,4.0,25 juillet 2015
Buena Empresa,"Santiago de Chile, RM","Buena Empresa.,proyectos desafiantes y oportunidades de realizar tareas en pro de mejorar y controlar de mejor manera los procesos.",BNP Paribas,4.0,"JEFE QA, SERVICIOS IT, Y PMO (Ancien employé), ",4.0,4.0,3.0,4.0,22 juillet 2015
I like it,Lisbon,"You enter always at the same hour and exit and the same hour. I work with the market so the clock is always right. You almost never do extra hours. You have to do your job that most of it is just procedures. Easy going, a lot of international people working here, most of them come from Erasmus and stayed in Lisbon and are now living here.",BNP Paribas,2.0,"Trainee - Local Settlement Team Italian Market (Employé actuel), ",3.0,5.0,4.0,4.0,8 juillet 2015
Workplace that is similar to a school with a lot of peers to learn from.,Abu Dhabi,"On a day-day basis I would be interacting with clients, following up on  things like pending Annual reviews, interacting with the compliance and Due diligence team to ensure the smoothness of accounts with our clients.,I have learnt how to interact with clients, co-ordinate with our regional office in Bahrain & also with our Head office in Paris. The management included of individuals who strongly believed in the capabilities of their team without having to micro manage - this allowed more room for growth & gave me confidence in my skills.,The hardest part of the job would be to achieve the targets set with boundaries such as having teams in different countries and time zones (Bahrain & Paris).,The most enjoyable part of the job would be the work environment - where people are there to teach & support.",BNP Paribas,0.0,"Coverage Associate (Employé actuel), ",0.0,0.0,0.0,0.0,1 juillet 2015
Fair company to work,"Chennai, TN",Experience of working in Australia as I was send by the organization for the migration of the projects whre the profile was to study and analyse the process and ammend them as per the requirement through Automations,BNP Paribas,3.0,"Excel Developer/Analyst (Employé actuel), ",3.0,3.0,3.0,3.0,1 juillet 2015
No comment,"New York, NY","When I joined BNP in 2012, it was a great company with great people and thrive to see people grow internally and organically.",BNP Paribas,3.0,"Associate (Latin America Fixed Income Strategist) (Ancien employé), ",3.0,4.0,1.0,1.0,26 juin 2015
Great Company,"Bucuresti, IF",It's a very good Company with a good management and employees and was a honour to work there and i've learned a lot of good things.,BNP Paribas,3.0,"Debt Collection Officer (Ancien employé), ",5.0,5.0,4.0,5.0,17 juin 2015
"Empresa Dinâmica, exigente e favorece com benefícios","São Paulo, SP","Uma empresa comprometida com os colaborador em se tratando em benefícios.,Ótima participação para o nível gerencial do PLR.,Clima tenso e exigente para o batimento de metas e ou indicadores",BNP Paribas,4.0,"Gerente Administrativo (Ancien employé), ",3.0,3.0,2.0,4.0,16 juin 2015
Good Morale,"New York, NY","Temp Hire - good place to work, always work to be done, can get stale and need more opportunities for growth. The company needs to be more advance with technology and working efficiently with the times - a lot of process is outdated. Management needs more structure and organization to create productive environment. Otherwise great people to work with.",BNP Paribas,3.0,"US Client Onboarding Analyst (Employé actuel), ",4.0,3.0,3.0,3.0,15 juin 2015
Could be better,Dundee,"Having worked for a few Banks before coming to BNP Paribas, I had expected a good atmosphere and degree of professionalism.  Instead it was colleague;s comment  ""why you working for BNP Paribas, you must be mad!""  after 5 months of contract, glad it was over.  Sadly processes were still print and eye-check.  No VBA or even an excel report and no telephoning!",BNP Paribas,2.0,"Reconciliations Administrator (Ancien employé), ",2.0,2.0,1.0,1.0,15 juin 2015
Relaxed place to work,Glasgow,I have been with BNP Paribas for a month now and the culture difference from previous organisations is startling. BNP is a very relaxed place to work.,BNP Paribas,4.0,"Middle Office Trade Management Administrator (Employé actuel), ",4.0,5.0,4.0,4.0,8 juin 2015
n/a,Central,BNP Paribas has given me a lot of opportunities and flexibility on my career. The people that I work with have all been very nice and helpful.,BNP Paribas,4.0,"Business Support (Full-time) (Employé actuel), ",4.0,5.0,3.0,3.0,8 juin 2015
Good Work Life Balance,"New York, NY",Good work life balance for all employees. The company truly tries to assist all employees by allowing individuals to work from home and creating programs such as Flex Friday(leave 2PM),BNP Paribas,3.0,"Business Analyst (Employé actuel), ",5.0,5.0,4.0,3.0,6 juin 2015
Perfect place for freshers to learn in and out of investment banking,Chennai,"It was very good start as a fresher to join BNP since we are trained on all aspects of fund accounting.,Management is employee friendly and takes care of all the concerns raised by the employees on a timely basis.,People work with at most team spirit and help the juniors learn and do their work with ease.,Work goes hectic at times since we have daily deadlines and need to deliver the NAV on an hourly basis.,Its a good learning experience working with BNP since quality and efficiency is improved day by day with perfect time management.",BNP Paribas,3.0,"Senior associate - Fund accountant NAV process (Employé actuel), ",4.0,3.0,3.0,3.0,4 juin 2015
Great Organization,"Philadelphia, PA","Great Management, very innovative and great culture. My experience has been very diverse and I have had the opportunity to take on various projects and work with various groups.",BNP Paribas,4.0,"Hedge Fund Analyst (Employé actuel), ",4.0,4.0,4.0,4.0,2 juin 2015
Very relaxed and laid back atmosphere,"Newport, NJ",BNP Paribas is a great place to work for and the culture is great. The biggest asset are the people. The day to day responsibilities were ever changing and there was something new to learn every day on the job.,BNP Paribas,5.0,"Consultant/Business Analyst (Employé actuel), ",5.0,5.0,5.0,5.0,31 mai 2015
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Pocas oportunidades de crecimiento al interior de la compañia,"Pereira, RIS","Aprendizaje constante, alto exigencia pero baja compensacion salarial, pocas oportunidades de crecimiento al interior de la organizacion",BNP Paribas,1.0,"Gestor comercial (Ancien employé), ",3.0,3.0,1.0,3.0,29 mai 2015
leuke sfeer en leuke collega's en boeiend werk,Brussel,Er is veel afwisseling in het werk en je krijgt voldoende kansen om door te groeien en meer verantwoordelijkheid krijgen.,BNP Paribas,4.0,"Administratieve medewerker (Ancien employé), ",4.0,4.0,4.0,4.0,26 mai 2015
Good working atmosphere,"London, ENG","Good working atmosphere, but not the most competitive environment. BNP is a good bank concerning the quantitative opportunities.",BNP Paribas,0.0,"Valuation Product (Employé actuel), ",0.0,0.0,0.0,0.0,25 mai 2015
Productive and fun at work place,"Mumbai, MH","Productive and fun at work place,Handling difficult issues with an ease and support of seniors,Helpfull co workers and colleagues ,Fun at Work Like Games, luch treat etc ..",BNP Paribas,5.0,"Associate (Ancien employé), ",5.0,5.0,4.0,5.0,15 mai 2015
Productive and fun at the work place,"Chennai, INDIA","- Office timing starts 2 am till 4 pm (supporting APAC region),- Good management skill and face all the challenges to overcome any escalations.,- Tackling human being and their thoughts are the biggest challenge hence, a little diplomacy is required.,- Yearly and Half yearly appraisals and the following feedback secession are the most enjoyable part. ,- Interviewing is the Hardest and interesting part.",BNP Paribas,3.0,"Operations Manager (Ancien employé), ",3.0,4.0,4.0,4.0,15 mai 2015
Buena,"Bogotá, CUN",Aprendí nuevas estrategias de ventas  y el reto de manejar grupos de trabajo,BNP Paribas,4.0,"agente de seguros (Ancien employé), ",4.0,4.0,3.0,3.0,14 mai 2015
Excelente clima de trabalho e boas oportunidades de desenvolvimento,"São Paulo, SP",Excelente clima de trabalho e boas oportunidades de desenvolvimento. Empresa em crescimento e que dá oportunidades.,BNP Paribas,4.0,"Coordenador de Trade Marketing (Ancien employé), ",4.0,4.0,4.0,4.0,7 mai 2015
BOW FP&A Budgeting & Forecasting - Terrible Management and Terrible Place to work !!!,San Ramon,"Management think of employees not as value added, but as costs that must be lowered and cut as much as possible.,This feedback is for the Corporate FP&A (San Ramon) department's budget & forecasting team especially. Very minimum ownership on projects in this team. When working with financial models, it is often to spend hours and days to discuss color of a cell or the width of a column, or how to name a work file. This is very inefficient use of time and waste of resources. Management does not listen to advices, it is either their way or the highway, but their way is actually very time consuming and inefficient. Managers in this team have 15, 20+ years of experience and think like the 1990s. People with this much experience could spent their time better moving projects along instead of spending days checking on cell colors and column widths everyday. Every minor work details require approvals from management. There is no learning gained from working in this group as everything resolves around documentations and format fixing. You are expected to work as told with no ideas and originality because "" We Paid for You to Work"". period. Do not expect to work for this team and learn, you learn NOTHING.  you are a workhorse (work 9am to 8pm is normal and expected) who does not need to be appreciated for hard work and for being analytical. You will be given meaningless work and be expected to complete everything 2 hours ago. Even if you finish the project in one hour, you will spend the next 2 days reviewing, fixing up formatting color, column widths, & other useless details for a",BNP Paribas,1.0,"Senior Financial Analyst (Ancien employé), ",1.0,1.0,1.0,1.0,4 mai 2015
To build your resume,Jersey City,"Pros,Strong work ethic culture. Global platform allowing for geographic/sector mobility. Brilliant investment banking professionals. Worl class expertise in commodities, energy, infrastructure and oil and gas financing. Good perks,Cons,Bureaucracy. Below market salaries. Long hours",BNP Paribas,4.0,"System Designer (Ancien employé), ",3.0,3.0,3.0,3.0,29 avril 2015
PMO,Singapore,"Presented and implemented quality controls checks/ governance process flow for APAC –CIB projects within the scope of work which includes Clarity data up gradation and making it more efficient and a golden source of information for management reporting, the controls are centrally implemented and are accepted by APAC PMO Governance office. ,•	Presented a project portfolio management tool  to Senior management which facilitates in having a global picture of the health of projects within the scope in a single view, project KPI, RAG, and key issues highlighted which needs management attention and overall track of project on-going activities.,•	The portfolio presented helps in ensuring constant alignments with business strategy; facilitate decision making; manage capacity; highlight dependencies; better control of project scope and reduce budget; track benefits.,•	Project portfolio setup facilitates in various senior management reporting and project office committees across the domain for better management and keeping track of ongoing activities within the scope.,•	Managing projects at program level and providing solutions to the team including project managers, management for any gaps within PMO and scope.,•	Work involvement at various levels including middle office, back office, operations, PMO for ongoing project activities.,•	Generates timely reporting appropriate to different levels of audience; i. e., Project Working Committee, Project Steering Committee.,•	Making high level presentation which is show case in project steering committee and management reporting, participating",BNP Paribas,0.0,"Project Management Officer (Employé actuel), ",0.0,0.0,0.0,0.0,29 avril 2015
Bankgebäude,Zuerich,die vielseitige Arbeit und der Kontakt zu Kunden machte mir stets viel Freude.,BNP Paribas,4.0,"Senior Account Manager (Ancien employé), ",1.0,3.0,1.0,1.0,28 avril 2015
"Great place to work, but unstable culture during M&A","San Francisco, CA","Great place to work and learn about banking,Friendly co-worker and supportive boss,Cut throat culture during acquisition",BNP Paribas,2.0,"Investment Officer (Ancien employé), ",3.0,3.0,2.0,3.0,23 avril 2015
productive,egypt,as a retail officer in the remittance department i was responsible for incoming and the outgoing transfers to the customers foreign or domestic currencies.,BNP Paribas,0.0,"Back Office Retail Officer Intern (Ancien employé), ",0.0,0.0,0.0,0.0,14 avril 2015
Boas condições de trabalho e regalias para os colaboradores,"Lisboa, P11","- A parte mais difícil era a gestão de expectativas e vontades das várias pessoas com quem tinha de contactar,- A parte mais agradável eram as condições físicas de trabalho",BNP Paribas,4.0,"Events Assistant (Ancien employé), ",3.0,3.0,4.0,4.0,2 avril 2015
Empresa seria,Madrid,Una empresa con grandes profesionales siempre dispuestos a echarte una mano.,BNP Paribas,2.0,"Técnico en Marketing y Comunicación (Ancien employé), ",2.0,2.0,2.0,2.0,30 mars 2015
Productive and Amazing workplace,"Mumbai, MH","Very Good company to learn and apply new things.,Work Life balance with Job security. People are also nice.Employee friendly company and its fun to work in BNP Paribas ISPL",BNP Paribas,3.0,"Team Lead (Employé actuel), ",5.0,4.0,5.0,5.0,29 mars 2015
Good work life balance - friendly office environment,"Dublin, D","Global company sometimes felt like a number, bureaucratic at times when dealing head office in Paris. Good opportunities within Dublin office must have another language than English to progress at management level",BNP Paribas,3.0,"Deputy Head of CIB Trade Middle Office (Ancien employé), ",4.0,5.0,4.0,4.0,26 mars 2015
Good Company to work for,"Jersey City, NJ","Strong presence in International Banking Activities around the world,Strong Compliance focus,Location in NY and NJ,Large workforce in the US,Head Office is in Paris France",BNP Paribas,3.0,"Director, US Financial Security; AML-OFAC (Ancien employé), ",3.0,3.0,3.0,3.0,24 mars 2015
Worst Place to Work,"New York, NY","No opportunity to grow, extremely bureaucratic, pays way less than industry standards. Everyone has an attitude. Only MD's count.",BNP Paribas,1.0,"Assistant Vice President (Employé actuel), ",1.0,1.0,1.0,1.0,18 mars 2015
a busy place to work,"New York, NY",You have to be multi-task all the time. The hotline is busy all the time. And you have to handle coming emails at the same time. Things needs to be handled fast.,BNP Paribas,4.0,"Fixed Income Application Support (Employé actuel), ",3.0,3.0,3.0,3.0,13 mars 2015
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Good salary no progression,"Birmingham, ENG","Very good salary. Met some nice people but zero progression prospects. OK for a temporary job.,monotonous and boring no variety in work at all. Very rapid turnover of staff and no formal training",BNP Paribas,1.0,"Manager (Ancien employé), ",1.0,1.0,1.0,1.0,22 janvier 2015
s,"New York, NY","FX Electronic Trading Support,•       Support about 50 FX Trade applications: position management, electronic trading, algo proprietary trading, auto hedging, FX eCommerce, sales trading, and FXT middle office booking.,•       Perform morning checks for eCommerce systems to ensure streaming prices are available in all global regions,•       Troubleshoot and resolve issues for front-end, back-end dealing systems on Windows 7 servers.,•       Receive ongoing issues from UK support team and in turn, pass unresolved incidents to the APAC team,•       Investigate FIX messages for missing and rejected deals,•       Investigate user inquiries, flow breaks, booking issues, data issues, and escalate problems to development team,•       Coordinate and resolve incidents from external and internal issues such as exchange connectivity, application bugs, or network problems,•       Create SQL queries to investigate monitoring alerts, generate trading reports, identify booking errors.",BNP Paribas,0.0,"trade support FX (Ancien employé), ",0.0,0.0,0.0,0.0,15 janvier 2015
Excellent Organisation,London,"Challenging, great culture, high performing Organisation",BNP Paribas,0.0,"Senior Business Analyst/Project Manager (Employé actuel), ",0.0,0.0,0.0,0.0,31 décembre 2014
Bias experience depending on the department,APAC,"Good place to be for trading related activities. Opportunities to grow in the bank can sometimes be difficult to find and get but the company offers good benefit & life balance.,BNPP is an active player on Asian markets.",BNP Paribas,4.0,"Staff (Employé actuel), ",3.0,4.0,4.0,3.0,17 décembre 2014
BUON AMBIENTE ZERO CARRIERA,"Milano, LOM","OTTIMO AMBIENTE. TRAINING SCADENTE. VIENI BUTTATO NELLA MISCHIA SENZA UN MINIMO DI FORMAZIONE, NEANCHE GENERALE. TEAM SOTTONUMERO. NESSUNO HA TEMPO E/O VOGLIA DI STARE A SPIERGARE PER BENE L'OPERATIVITA' PERCHE' IMPOSSIBILITATI DALLA MOLE DI LAVORO. DEVI IMPARARE MOLTO IN MANIERA AUTONOMA COL TEMPO CERCANDO DI CATTURARE IL MAGGIOR NUMERO DI INFO GIORNO PER GIORNO. PER IL RESTO OTTIMA ESPERIENZA",BNP Paribas,4.0,"ACCOUNT MANAGER (Ancien employé), ",4.0,4.0,1.0,2.0,16 décembre 2014
Data entry for tournament credentials,Indian Wells CA,Learned new software to process information for credentials. Would process details needed for each photo pass for tournament and had to be precise in data entry. Exciting to meet tennis pros and their staff. Very fast paced environment since some credentials had to be processed while client was waiting.,BNP Paribas,0.0,"Data Entry Clerk (Ancien employé), ",0.0,0.0,0.0,0.0,7 décembre 2014
"Productive and detalied attention to high profile clients, business oriented.","Jersey City, NJ","Daily worked flow consist of checking reports, ensuring all systems were up and running properly. Handling of any past due payments that needed further instruction or out of the country assistance. The company provided many online and premises courses, such as: Leading with Success, Coaching your team. These courses provided you with tools to assist your team and peers throughout a course of a day, project or outstanding issue. Management was present and helpful. Email was the first form of contact for recording and feedback purposes. Overall my co-workers were all hardworking and there to complete their responsibilities, the atmosphere was friendly and easy going. The hardest part of this job was completing every aspect of the job within the timeframe, we were short on staff and heavy on workload. This took a lot of prioritizing. Ensuring you have provided the utmost experience for your client. When they call you for direct support, you have done your job successfully and this brings great satisfaction.",BNP Paribas,3.0,"Assistant Vice President of Treasury Operations (Ancien employé), ",3.0,2.0,3.0,2.0,3 décembre 2014
BNP,"Houston, TX",Great company and very fast paced work culture.Working with the energy traders made it very exciting.,BNP Paribas,0.0,"Lead BA/PM (contract role) (Ancien employé), ",0.0,0.0,0.0,0.0,2 décembre 2014
Buona possibilità lavorativa,"Milano, LOM","Ritengo un ottima esperienza la collaborazione con BNP Paribas Real Estate, ho imparato tanto ho dato tanto.,Piena consapevolezza delle proprie competenze, sviluppando una particolare attenzione per il mondo tecnico, senza tralasciare la gestione di tutti i servizi di governance.,Gestione delle criticità in tempo reale e problem solving",BNP Paribas,4.0,"Facility & Porperty Manager (Employé actuel), ",4.0,4.0,4.0,4.0,25 novembre 2014
La evaluación general de la Cía. es muy buena.,Ciudad Autónoma de Buenos Aires,"La evaluación general de la Cía. es muy buena. El aprendizaje sobre nuevas líneas de negocio es constante, ampliando el conocimiento en el mercado.",BNP Paribas,4.0,"Jefe de Atención al Cliente y Back Office (Employé actuel), ",4.0,4.0,4.0,4.0,24 novembre 2014
A leading bank,"New York, NY","with strong performance in the US, and globally. the trading team is excellent.",BNP Paribas,0.0,"Summer Associate (Ancien employé), ",0.0,0.0,0.0,0.0,20 novembre 2014
Interessantes Unternehmen,Köln,BNP Paribas Real Estate gehört zur französischen Bank BNP und bietet viele Aufgabengebiete.,BNP Paribas,0.0,"Assistentin Bereich Bürovermietung (Employé actuel), ",0.0,0.0,0.0,0.0,11 novembre 2014
Co-workers are really nice,上海市,"I only had the experience in BNP Paribas (China) Limited, the co-workers there are pretty nice and productive. Labor Union in the company are awesome! We have many chances to travel with colleagues and have a lot of fun.",BNP Paribas,5.0,"Syndication Loan Agent/ Loan Admin (Ancien employé), ",5.0,5.0,5.0,5.0,7 novembre 2014
"Customers and Co-workers were awesome, management was generally absent and products were not competitive,","Oakland, CA","Customers and Co-workers were awesome, management was generally absent and products were not competitive, This made it hard to meet the goals set but other wise a good culture.",BNP Paribas,4.0,"Financial Services Officer (Ancien employé), ",5.0,4.0,4.0,2.0,31 octobre 2014
Productive and result oriented,"London, ENG",Learned new skills working with a bunch of talented professionals.,BNP Paribas,4.0,"Developer (Ancien employé), ",4.0,4.0,3.0,4.0,26 octobre 2014
Work at BNP Paribas was extensive and it was necessary to be focused to avoid errors. There were no diversions from work.,"Mumbai, MH","I became more diligent when i worked with this company. As i was processing Australia and South East Asia transaction, i had to start work at 6 am which would continue till 5 pm or more. This helped me changed my attitude towards corporate life. My co-workers were very helpful and they put in full efforts to make me understand the kind of transactions i was processing. There were several sessions arranged by the company like stress busters, self-defense workshops for women, karaoke etc. We could participate provided we complete the work first.",BNP Paribas,3.0,"Associate (Ancien employé), ",3.0,3.0,4.0,3.0,20 octobre 2014
Good work life balance - weak management,Singapore,"At BNP Paribas, I had a very good work life balance where importance was given to your personal life after work. But what I felt was that the senior management lacked conviction and was not able to be make hard decisions. Which is why the bank has been behind other banks in terms of technology.",BNP Paribas,3.0,"Associate Business Analyst (Ancien employé), ",3.0,4.0,3.0,3.0,20 octobre 2014
Fun workplace,"Lisboa, P11",On this training program I had the opportunity to learn a lot about how a great company back-office works.,BNP Paribas,2.0,"Corporate Actions - Euronext Markets Specialist (Employé actuel), ",3.0,3.0,2.0,5.0,7 octobre 2014
A nice place to work at overall,"New York, NY","Pros:,- Nice co-workers in most teams,- Great work-life balance,- Good job security,Cons:,- Relatively low pay (relative to the industry),- Advancement is difficult (the pyramid is top-heavy),- Communication from management at most levels is not good,In general, it is not clear where BNP Paribas CIB is headed, especially in the US.",BNP Paribas,3.0,"Vice President (Ancien employé), ",3.0,5.0,3.0,3.0,5 octobre 2014
I LOVE MY JOB HERE AT BNP PARIBAS MIAMI,"Miami, FL","I LOVE MY JOB HERE AT BNP PARIBAS,THEY TREAT THEIR EMPLOYEES WITH RESPECT,AND UNDERSTANDING. IF IT WANT THAT THEY ARE CLOSING THE BANK I WOULD HAVE RETIRED",BNP Paribas,5.0,"European leader (Employé actuel), ",5.0,5.0,5.0,5.0,26 septembre 2014
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Like the atmosphere of a European company,"New York, NY",Like working with people globally. Typical day is faced paced and ever changing.,BNP Paribas,1.0,"Executive Administrator/Office Manager (Employé actuel), ",2.0,3.0,1.0,1.0,17 septembre 2014
Very relaxed work environment,"Jersey City, NJ;","Very relaxed environment;,Technology wise , not advanced.",BNP Paribas,3.0,"Vice President (Employé actuel), ",2.0,3.0,3.0,3.0,9 septembre 2014
productive and customer orientated,Bulgaria,"customer orientated,negotiate,work in team and individual,managing people",BNP Paribas,4.0,"Business Development Manager (Employé actuel), ",5.0,4.0,5.0,4.0,6 septembre 2014
