authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
Brisbane,,Thoroughly enjoyed working for the company. Fantastic pay and create office environment. Enthusiastic and fun managers who helped to motivate and support employee's working for them.,24 novembre 2015,claims handler,Allianz Group
"Richmond, VA",,"For the most part, is a good place to work. If you are a career oriented, mid to senior level professional who is looking to continuing to grow your career and skills, this place is not going to be for you.  To be very honest, it is easier to work there just for the paycheck than challenging the status quo. Some of the management is so pathetic that you could get away with the bare minimum, if a job is all you want.",19 novembre 2015,Current Employee,Allianz Group
"San Francisco Bay Area, CA",,"I have not complaints about Allianz. They have grown me professionally in so many ways! I have always had awesome managers there and am so grateful to have had the people and coworkers I did. I learned a lot, traveled and really had the chance to get valuable experience with a multinational. Thank you Allianz!",17 novembre 2015,Communications Co-Director/ Manager,Allianz Group
"New York, NY",,Supportive teams. Encouraged personal growth and development. Gave summer analysts a lot of responsibility. Access to senior level management.,14 novembre 2015,Asset Management Summer Analyst,Allianz Group
"Birmingham, ENG",,"Excellent training and continued support on the floor.,Very fast past and pressured call taking.,The best head of department manager I have ever had",6 novembre 2015,Motor Claims Handler,Allianz Group
"Novato, CA",,Allianz represents one of the largest P&C global companies that is moving in the right direction.  The competitive spirit environment offers employees the opportunity to develop and further their careers while promoting a team based environment to continue to becoming a major competitor in the US market.  The most enjoyable part of the my job is the ability to utilize my skills and continue to learn new skills through continuing education and working alongside peers that share their talents.,4 novembre 2015,"AGCS Limited, Senior Business Process Analyst",Allianz Group
India,,"Its the best place i have ever worked with of lots of fun , greaat colleagues, very supportive management.,Very innovative place lots of positive in encouraging new ideas",2 novembre 2015,Senior Events Executive,Allianz Group
"Dublin, D",,Great experiance working for such a large global company. Was in close contact with customers from all over the world and was integrated into a highly skilled team from Ireland and Germany.,26 octobre 2015,Risk Analyst,Allianz Group
"New York, NY",,"Allianz is a typical finance company, office in NYC is really nice but corporate culture is not my style. I think this might be a great environment for someone who is interested in working in a finance related field.",26 octobre 2015,Operations Analyst,Allianz Group
LA,,"Don't believe everything that they say, got told that you have great job security but was finished 4 weeks into the job a few days before going on holiday which they knew about before taking me on as a employee. Wanted to rush me through my training so that they didn't have to training me by myself.,When i said i wasn't comfortable with them rushing me into doing my training quick enough they terminated my contract.",16 octobre 2015,Client Sales Executive,Allianz Group
"Richmond, VA",,Great Culture but they would keep more people if they opened their wallets. Great place to start your career but not retire from,15 octobre 2015,Team Leader,Allianz Group
"Toronto, ON",,The most enjoyable part of my job is  knowing after a hard days work that I made a difference in someone`s life and that they are happy because of it.,9 octobre 2015,Bilingual Emergency Assistant Coordinator,Allianz Group
"New York, NY",,"Great company with great atmosphere - wonderful up and coming organization. The management teams are wonderful to work for, I've learned a lot from the leaders here.",7 octobre 2015,Financial Analyst,Allianz Group
France,,"- calculate and underwrite health and contingencies contacts,- establish and provide customers’s accounts within 5 years for commercials,- calculate indemnities of cancellation and actuarial reserves of the contract about the retirement’s new law",2 juin 2014,Analyst life insurance,Allianz Group
"Kitchener, ON",,"- Friendly work environment,- Call center environment,- Assisted those traveling and needing medical treatment or advise,- provided referrals to both hospitals and clinics all around the world,- hardest part of the job was the long hours (Overtime, night shifts, stressful calls),- I have a passion for helping people, and enjoyed working with both my colleagues and clients",6 octobre 2015,Case Manager,Allianz Group
"Golden Valley, MN",,"Great place to work, friendly place, with nice amenities with the cafeterias. Good structure in the IT shop and good change control practices. Seems like a sound financial company to work for.",5 octobre 2015,Change Manager Contractor,Allianz Group
AP,,"employee works in a cool comfortable work zone, fun, challenge, thrill all is part of job. Team Management, friendly culture, best workplace to do a job",3 octobre 2015,Area Manager-Banca,Allianz Group
Minneapolis,,"Good place to work. Lot of opportunities, great staffs. ,Beautiful Campus. Lot of flexibilities as far as working remote which makes the job more fun.",27 septembre 2015,Business Consultant (Contract Consultant),Allianz Group
cairo,,"which improves my performance over the previous day along with inspiring me to perform over-the-top the next day and every day, strengths include handling daily task with utmost responsibility, ethically maintaining my integrity simultaneously carrying out my duties with priority, urging my colleagues, superiors and inferiors to do the same, motivate myself in bringing new thoughts to ease process or workflow, while enjoying my work day to day eventually helping me evolve and progress through my career, my knowledge and years of experience been put to test to prove my abilities, sustaining my work with detail oriented and flexible approach, contributing my efforts to the benefit of the company.",25 septembre 2015,Sales Agent,Allianz Group
Brentford,,"I did enjoy working at Allianz and it wasn't until I left I could see the negatives - the problem of getting comfortable in a job and not looking at what else there is.,I worked in the Brentford office and the continuous feeling across so many employees was the pay was poor but we were told it was the norm and we will well paid for the jobs we were doing, I've since moved up north (where living costs and wages are generally lower) and started working for another company doing the same job for more pay.,Allianz was pro-active with putting people on courses to get points towards CII, but upon leaving when I then started to arrange courses myself was told my managers had never submitted my work (or that of a lot of my colleagues) so we had no proof of our work even though our letters and Allianz development team had provided certificates showing we had done the courses. As I had now left the company I was told nothing could be done, my colleagues have been told it has been too long to submit their work, and colleagues would have completed courses within the last four weeks have been told Allianz will not pay the expense for the course and no-one will be told the price.,Despite completing courses and getting shining reviews there was no space for progression.,I wish Allianz would treat it's staff better, there is a massive turn over in the Brentford office and despite the things I have found by joining a different company since leaving, I would have liked to have kept working for Allianz but wish they would treat staff better.",21 septembre 2015,Claims,Allianz Group
Bogotá,,"Great work place, you can develop all your skills there, your boss is always greatful with the things done. The hardest part was always the end of the month, but with very collaborative colleagues.",21 septembre 2015,Professional in technical development unit,Allianz Group
"Glen Allen, VA",,AGA is a wonderful company unfortunately it's not parent friendly. The hours they ditch out to those with families are ridiculios and leave very little time for you to see your little ones. Also it's pratically impossible to get your scheduled changed other than that flaw. They are amazing and so are the employees!,18 septembre 2015,Benefits Administrator,Allianz Group
Richmond VA,,"Typical day at Allianz consist of taking incoming phone call and reviewing claims in a high volume department. The co-workers work respectable with each other the best way possible under the worst circumstances .The selective  supervisor  is constantly putting on shows and clowning around the employees, instead taking care of supervisory duties. Anyone that lands a job within this department, it will not be pleasant, if they are unlikely to get supervisor that hasn't had the proper business etiquette courses on how to treat personnel respectably in corporate environment.",16 septembre 2015,Claim Examiner,Allianz Group
"London, ENG",,"Although this was only a temp role, I was made to feel very welcome & part of there team. I would happily work for them again.",15 septembre 2015,Facilities Helpdesk Administrator (Temp),Allianz Group
"São Paulo, SP",,Allianz is one of the largest insurance company in the world. They offer a very challenge environment in more than 30 countries which helps to develop a international career.,14 septembre 2015,Leads of staff,Allianz Group
Mangalore,,Enjoyed my Job meeting ample of Prospective customers every day.enjoyed riding in a bike .management was very good.healthy competition with colleagues to achieve targets.,9 septembre 2015,Insurance Service Representative,Allianz Group
"Golden Valley, MN",,"If you want to work in an environment that is constantly behind on their work, needing you to work overtime, feel bad about taking any days off and never know where you stand at your job, then the Fixed New Business department at Allianz is the job for you. Your manager can turn on you and then they do whatever necessary to get you fired, no matter how good of an employee you are.",8 septembre 2015,Case Manager,Allianz Group
"Pune, MH",,"Sometimes it was too difficult to think that you are part of one of the leaders in industry, as there were no process, policies, employee engagement initiatives etc. Hardcore sales driven organization with very less focus on Employee. Mangers lacking Leadership quality, more inclined towards one man show",24 août 2015,Assistant Manager Technical Support,Allianz Group
"Richmond, VA",,I loved the people I worked with. They were all amazing and made coming to work worth it! They are the most upbeat people around.,23 août 2015,Senior Bankcard Associate,Allianz Group
"Lancaster, ENG",,"I was working in a call center, with an autodialler directing calls to me as soon as the last call had finished. I had to work to very strict legislation, and found the job very stressfull.",16 août 2015,Inbound/Outbound Sales Officer,Allianz Group
"Richmond, VA",,"coming in to work you hit the ground running. Calls are coming in constantly from potential customers which can make time go by very quickly. Working in this environment will teach you how to manage your time and juggle multiple projects at once. ,Management, from my experience, is second to none. You never feel like you are left to fend for yourself-somebody always has your back. The company culture is fantastic and laid back. You can come in with jeans and t-shirt and get your work done in comfort. ,The hardest part of the job I'd say would probably be that sometimes it can be quite fast paced; if you can't keep up and get stressed easily it might not be for you.,Even on the hardest days though you have not only the backup of management, but of your fun coworkers as well. My coworkers are a  great bunch of people and I don't think there is anyone that I work with that doesn't have a sense of humor.",29 juillet 2015,Sales/Customer Service,Allianz Group
Golden Valley MN,,"Allianz has a strong focus on career development beginning with the employee,  own your career and you own your future. Dont wait for someone to tell you what to do.",15 juillet 2015,Operations,Allianz Group
Trivandrum,,Allianz is a company where the work/life balance is entertained at the most. Every person is respected for the being. Here I was able to learn the business aspects in SAP in a broader sense.,15 juillet 2015,Associate Consultant,Allianz Group
Croydon,,"A very lively work place, co-workers all very friendly and supportive. Around 20-25 people in the department however about 100 or so on the whole floor. Continuous support, mentoring and training throughout. Good work benefits and plenty of opportunity for overtime, The only downside is the strenuous hours due to it being a 24 hour service so night shifts are included which can make it difficult to balance social and work life.",6 juillet 2015,Motor Assistance-Co-ordinator,Allianz Group
France,,"- calculate and underwrite health and contingencies contacts,- establish and provide customers’s accounts within 5 years for commercials,- calculate indemnities of cancellation and actuarial reserves of the contract about the retirement’s new law",2 juin 2014,Analyst life insurance,Allianz Group
Bangkok,,The office is centrally located with a free gym membership to the gym next door. This makes the work / life balance very manageable.,25 juin 2015,Central Operations Manager,Allianz Group
"Golden Valley, MN",,"A typical work day requires my team(Intake BA team) and I to triage all service requests received from Enterprise Operation, Treasury, Legal and Compliance departments. These requests range from system errors while processing a change to a policy, out going money requests to values not matching what is stated inside the contract. ,This requires the BA to gather information from the business and IT to determine what the issue is and how to proceed to fix the issue. The BA also collaborates with IT and the necessary stakeholders to determine what the financial, regulatory and customer impacts are. This group will also determine what is the best course of action to resolve this issue. ,I also take part in the monthly installs (releases) of systems fixes and updates. ,The most challenging part of my job is the most enjoyable part as well, I work on multiple tasks though out the day. I am required to prioritize my day based on tasks as they arise. I must have the ability to reprioritize my workload to handle the higher priority tasks and maintain all remaining tasks until they are resolved.,As the Intake BA Team, we need to support each other as high priority tasks arise. When necessary, we support each other's line of business by taking on tasks, cover meetings and shifts.",18 juin 2015,Business Analyst,Allianz Group
"Kitchener, ON",,Great place to work.  I have no complaints.  I was able to work my way up the ladder from an entry level position to the director level in a relatively short period of time.  This is a company that is always looking to improve on itself.  I liked the fact that Allianz always put the customer first.,17 juin 2015,Director Strategic Initiatives,Allianz Group
"Brisbane, QLD",,I worked for Allianz for 3 years and in that time formed solid working relationships with the people I was teamed with. The training was exceptional and taught me everything I needed to know about insurance which I previously knew nothing about. My time at Allianz was wonderful and I hope to work in the banking/insurance sector as a telephone consultant again as it is an area I am well trained in.,14 juin 2015,Consultant,Allianz Group
"Bhubaneshwar, Orissa",,"Working with family Environment. Handling Guest complaints/ Develops and maintains relationships with guest .,Utilize the Web to respond to quotes for insurance policies.",4 juin 2015,"sales executive in Bajaj Allianz, India",Allianz Group
"Wroclaw, Poland",,"Enjoyed the experience, at that time (2010) company was definitely leading in the field of innovative marketing techniques.",3 juin 2015,Junior Marketing Coordinator,Allianz Group
"Bathurst, NB",,"Regular days are 8 hours on the phone taking calls for either preparing a couple soon to be going on a trip, to trying to arrange billings with the hospital in Germany for the grandmother who was visiting her daughter for 2 weeks. I've learned how to read flip charts for every different insurance policies, learned how to interact with translators as this company works all around the world. Hardest part of the job would have been to try to understand everything through a miss connecting phone. And of course the best part is to help people when in need.",2 juin 2015,Frontline Agent IMP Customer Care,Allianz Group
"Pune, MH",,"A good company with a very good work culture, seniors, freedom to explore new things under guidance of seniors. Job security level is very good compared with other companies.",21 mai 2015,Sr. Actuarial Executive,Allianz Group
"Minneapolis, MN",,Nothing bad to day right now.  Great work/life balance and great communication for management. Open to employees working from home which is great.,21 mai 2015,Project Manager,Allianz Group
"Brentford, ENG",,"Started with Allianz PLC in November 2011 working in a main UK Contact Centre as a Customer Service Representative, for their retail pet insurance division, Petplan. ,Duties included handling in-bound calls and where necessary making out-bound calls, supporting the full administration and maintenance of customer insurance policies. Petplan operates as the market leader in the UK, so it is critical to deliver the very best customer service. Given the sensitivity of Pet Insurance; empathy, understanding, listening and diplomacy are vital personal attributes. ,Based upon progress and experience; in January 2013, successfully secured an opportunity of the role of Partnership Service Representative handling and administrating specialized level enquiries from other parties (for Petplan Vetline) including veterinary practitioners, breeders, charities, managers and other related teams. Also tasked to assist with complaint referral escalations.,My co-workers are supportive, enthusiastic and hardworking and together we make a great team.,The most enjoyable part of my job is a positive outcome to a negative complaint.,The hardest part of my job is delegating as I tend to want to do tings myself",19 mai 2015,Partnership Services Representative,Allianz Group
Bristol,,"Good atmosphere and great colleagues.,Enjoyable staff nights out.,Quite repetitive work and very formulaic,Tough targets and disciplinary meetings if they're not met",18 mai 2015,Customer Claims Handler,Allianz Group
"Gurgaon, HR",,"•	Responsible to drive business process re-engineering projects in various LOBs ,•	Building trusted relationships with end clients, business partners and internal stakeholders,•	Sharing improvement ideas & executing the same within agreed timelines with Chief Operating Officer & various Department Heads ,•	Create a culture of continual improvement by monthly Operations Reviews/ Toll gate meetings for various projects,•	Monitor client operations dashboard/scorecard measures to proactively control possible impacts ,•	Ensure accurate MIS reporting for Quality,•	Track and improve capacity and utilization of resources with General Manager- Operations ,•	Conducting team huddles for process updates, info shares to help team members connect to business and enhance team engagement & quality,•	Audit critical client facing projects to enhance overall customer satisfactions and participant experience by meeting/exceeding quality standards by using various Six Sigma tools like SIPOC and Control Plans,•	Ensures smooth transition to ongoing process owners through handoff meetings using SDLC artifacts, SOP review and trainings ,•	ISO Certification",17 mai 2015,Deputy General Manager,Allianz Group
Guildford,,Productive and good work environment to work in. Great work life balance and a place you get to learn a lot. Challenges your technical skill and steep learning curve.,11 mai 2015,Senior Technical Analyst - Middleware,Allianz Group
"Croydon, ENG",,"Answering calls all day and working on the company database. I learned how to talk on the phone to customers. The managers we rarely saw we just saw our supervisor who was very helpful. the co-workers were very nice and friendly. The hardest part of the job was dealing with angry/emotional customers, the most enjoyable was having conversations with colleagues.",11 mai 2015,FNOL calls,Allianz Group
"Dehra Dun, UL",,its an good organization. i have completed the target that was given to me by my Manager. and they are very impressed by my performance,6 mai 2015,Internship detail,Allianz Group
"Annecy, B9",,"I learned a lot about French law for tax, single or familly situations, everything we needed for advice of wealth management. ,I have chance to visit a lot of different people. it is humanly enriching.,Most of my co-workers are available we have a interesting  but stress full job and we are working together it is important.",29 avril 2015,Wealth Management Advisor,Allianz Group
Trivandrum,,"A great place to work ,,Focus on growth, passion, style, with care ""placing customers at Heart"",We delight customers by values aligned towards our mission and vision",23 avril 2015,Executive HR Recruitment,Allianz Group
Bristol,,"Very good company to work for, extremely supportive throughout training. As this was primarily a call centre role, advancement through the company was difficult.",21 avril 2015,Volkswagen Insurance Services Adviser,Allianz Group
Brentford,,"No two days were ever the same, a fun and dynamic workplace. In my time at Allianz Insurance Plc I was fortunate enough to learn other areas of the business, and work with a great team and with a admirable management team. ,Being a inbound sales administrator had its obstacles when the right calls weren't coming in but it was a case of using a pro-active approach on how to turn a bad day round.",20 avril 2015,Insurance Sales Administrator,Allianz Group
Richmond VA,,"A typical day at work is logging into a work Queue with an overwhelming amount of tasks to complete, a phone queue with calls already holding and a “manager” in the background screaming CALLS HOLDING!!!!  In addition to the managers playing favorites those that actually work hard are not recognized or promoted. The work environment is kill or be killed so your co-workers are hostile all day long. The most enjoyable part of the job is clocking out.",17 avril 2015,Bankcard Benefits Specialist,Allianz Group
France,,"- calculate and underwrite health and contingencies contacts,- establish and provide customers’s accounts within 5 years for commercials,- calculate indemnities of cancellation and actuarial reserves of the contract about the retirement’s new law",2 juin 2014,Analyst life insurance,Allianz Group
"Glen Allen, VA",,"Working at Allianz has been a great pleasure. Their office building is fantastic, my co-workers were friendly and helpful, and they have plenty of opportunity for advancement and they really value their employees.",15 avril 2015,Document Developer,Allianz Group
"Calicut, KL",,"India's 2nd best Private Insurance Company,India's 2nd in No of Policies & Premium Collected,India's Best & Fastest in Claim Settlement",15 avril 2015,Area Manager,Allianz Group
"Minneapolis, MN",,The role was a Salesforce.com support on daily basis and work with clients for enhancement of Force.com platform. Had good experience coordinating with Clients and offshore team member.,14 avril 2015,ROLE - Salesforce Developer/Admin,Allianz Group
"Newport Beach, CA",,"My day usually starts at 8.00 am, i start by logging into my computer, and pulling up my mails and trying to reply each mail if it is for me and if any issue immediately start working on it and if i need to prepare any Functional documents start working on it ,attending business meetings.,How to manage meetings and completing the issues in time.,Management is really good.,Talking on unknown issues in meetings infront of business users.,Working with team is fun.",13 mars 2015,SAP FICO Functional Consultant,Allianz Group
"Minneapolis, MN",,"A typical day at work ,when we use to get NEW Business requirement, Day by day its getting easier to understand the Functional and business requirement.",13 mars 2015,Member Technical Staff - Quality,Allianz Group
"Manhattan, NY",,"Friendly environment, great work history, employees where al friendly and very hard working. Company gave us great benefits, free lunches, excellent vacation package, and bonus every year!",4 mars 2015,Front Desk Receptionist,Allianz Group
"Vigo, GA",,"A typical day at work would involve answering the phone, customising insurance plans (mainly for vehicles) based on the client’s needs, calculating premiums and establishing payment methods, maintaining good rapport with existing clients, and performing general administrative duties.,What I learned: to interact with customers effectively, and to provide a high level of customer service.,Management: The manager was fair as well as hard working.,Co-Workers: They were older than me, and most of them had been working in the same company for 10 years+,The hardest part of the job: Dealing with clients who were not respectful.,The most enjoyable part: There was always something new to learn and the people I worked with were always keen to teach me.",3 mars 2015,Insurance Sales Agent,Allianz Group
Sydney NSW,,"I currently work in the Motor claims department as part of the Total loss claims section. This includes the handling of corporate/fleet claims, broker claims as well as direct claims. This role requires a great attention to detail as well as working under pressure due to the large volume of claims and to ensure the insured's claim is settled correctly and promptly and the relevant authorities have been advised of the write off.Over the time here i have acted as Team Leader and as a Technical lead.As a senior claims consultant i act as a reference point for staff with any claims issues they make come across.I enjoy sharing my experience and knowledge and helping fellow staff.",4 février 2015,Senior Motor claims technician,Allianz Group
"San Francisco, CA",,"My job is very fun, meeting new people and getting to know their perceptions about a product already in the market or about to be introduced.,In this job, I am learning a lot example Korean language for sometimes I do translate from English to Korean, learn to enter data and how to conduct a survey in a professional manner.,Since we are all freelancers, everybody is kind of a ""boss"" on his/her own. However, our team is an exciting team, energetic and always ready to deliver. It is a fun and educative team.,The hardest part of the job is at the very beginning. Trying to make sure the right words are used not to scare respondents and a proper introduction of yourself. Apart from this, the rest is stress free.,The most enjoyable part of the job is trying to communicate from English to Korean. Is kind of learning a new language, which I like. I love challenges.",4 février 2015,Freelance Marketing Researcher,Allianz Group
"Koszalin, ZA",,"Working as an Insurance Agent was nice.,The main thing in that work was preparation and planning, first thing was to make an appointment using a phone, sometimes telephone sesion takes 3 hours, and i was having appointment for the rest of the week. At the appointment i was making the financial analysis of the customer needs, insurance, long or short term savings ect. It was good job, responsible,working with people, good organization was the key, it was my the most enjoyable job.",2 février 2015,Insurance Agent,Allianz Group
"Aztec West, Bristol",,"productive, progress is limited to experince and work ethic. The coffee is free and sometimes you get to have a free lunch.",31 janvier 2015,Retail Sales Executive/ Representative,Allianz Group
Milton Keynes,,"Lively, highly motivated team working closely together to achieve set targets and meet KPIs as agreed with key customers.,High level of customer focus to provide excellent customer service and delivery.",26 janvier 2015,Commercial Packages E-Trade SME Underwriter,Allianz Group
London,,"Allianz is a fun exciting place to work with continuous career development opportunities.,and a high level of support from mangers ands senior staff members.",19 janvier 2015,Customer Service Advisor,Allianz Group
"Milton Keynes, ENG",,"in bound calls regarding a free 7 day insurance policy which we would then try convert in to an annual policy for BMW and mini buyers,I learned how to build rapport with customers and build a product which was best suited for said individual, Also to provide a high level of customer service when dealing with customers throughout the call . most enjoyable part of the job was the office atmosphere it was key for keeping spirits high as well as a bit of competition",14 janvier 2015,Sales Executive,Allianz Group
"Maidstone, ENG",,"The role primarily involves a high degree of front line underwriting, rating and trading with our selected Scheme and Arrangement brokers, building up strong working relationships to provide a strong profitable business growth whilst delivering excellent service and great results.",12 janvier 2015,SME Commercial Underwriter,Allianz Group
"Toowong, QLD",,"Their moto is 'work hard, play hard' and they live up to it.,Everyone was very friendly, happy to be there and more than willing to help.,There was always job advancement opportunities available.,They have a tray of free fruit once a month.,Tea, coffee and milo.,Gym and showers available.",11 janvier 2015,Case Manager,Allianz Group
"Richmond, VA",,"Allianz Global Assistance is an amazing company with an imbedded culture. The atmosphere is very welcoming and friendly overall.,Typically, they shoot for the median market value when pricing a job, so expect a fair salary where the culture and benefits make up the difference. They allow fairly flexible work times for the majority of the company, however if you're looking at the call center you will be expected to adhere to a more structured work schedule by necessity.,The (somewhat) new CEO is great. He walks around and makes a point to talk to anyone whenever he has time.,Attire is casual, most people wear jeans everyday (including the CEO) and on casual Friday's you're allowed to wear shorts (within reason).,The building they're housed in is really something else. Very bohemian-industrial, but very clean. The floors are named by different continents and the conference rooms are identified by country names within said continents.",4 janvier 2015,HR Analytics Intern,Allianz Group
Brisbane,,"Current changes are in place and although I am very happy with the company, Unfortunately the changes have limit my growth.,I enjoy working in all departments but with the changes, there will only be 1 department for each location.,I am looking to expand my experience and grow further and higher.",29 décembre 2014,Customer Specialist Consultant,Allianz Group
"San Francisco, USA",,All the people are very professional and brings out the best from you.,21 décembre 2014,Finance Manager,Allianz Group
"Thiruvananthapuram, KL",,"Good in Learning,Good in Employee Engagement,Good in Work Culture",19 décembre 2014,Application Development and Maintenance,Allianz Group
France,,"- calculate and underwrite health and contingencies contacts,- establish and provide customers’s accounts within 5 years for commercials,- calculate indemnities of cancellation and actuarial reserves of the contract about the retirement’s new law",2 juin 2014,Analyst life insurance,Allianz Group
"Golden Valley, MN",,I worked on a customer service line and handled a high volume of inbound phone calls on a day to day basis. Expected to know accurate answers to customers questions related to the Allianz business processes and procedures.,18 décembre 2014,Operations Associate,Allianz Group
"Minneapolis, MN",,"Its a great experience to work with Allianz Insurance.. You work with the smartest people, on high impact projects, its fun working with them.,No cons really! Just have to be aware that you have to give in your best to stand out amongst the smartest people! :)",7 décembre 2014,I.T Analyst,Allianz Group
Bethlehem PA,,"If you want to work for management that has favorites, is dishonest and uneducated on today's computer technology, then you found the right place to work. If you can deal with the poor management then good for you, but the bullying by other employees might deter you from wanting to work there. Plenty of nice people, but the negative, nasty people with the strong personalities will make you wonder if you are back in high school. If you are tough and can take it then just be ware that this part of the company is being sold off. At least in high school you are guaranteed 4 years. Fireman's Fund, not so much!",4 décembre 2014,Customer Service,Allianz Group
"Croydon, Surrey",,"Having been employed by Allianz Global Assistance (formally Mondial Assistance (UK) Limited) for the last 21 years, it has been hard work, enjoyable, frustrating at times but has provided me with a number of skills. All my co-workers have been a pleasure to work with.",25 novembre 2014,Marketing Fulfilment Executive,Allianz Group
"San Diego, CA",,Padilla has a great CEO whose culture and outlook permeates down to the lowest level person in the company.,19 novembre 2014,CONSULTANT,Allianz Group
"Imphal, MN",,I will be very much gladfull if your company make my future bright.I will remember you for my lifetime for making my journey of destiny.,18 novembre 2014,co-operate Insurance Advisor,Allianz Group
"Golden Valley, MN",,Allianz was the perfect place to work as there was life balance and constant appreciation. A day of work was working with reps to get them their orders for literature and things needed for them to go into the field and work as well.,17 novembre 2014,Mail Supply Representative,Allianz Group
"Brentford, ENG",,"Fantastic job with fantastic people.,Great career opportunities.,Hours of work were great, easy to commute to.,Challenging and great benefits scheme.,Management were fair and easy to communicate with.",17 novembre 2014,Company Trainer,Allianz Group
Lancaster,,"Allianz was overall a relatively pleasant place to work however the practices and procedures that that they attempt to enforce are completely unrealistic expectations and go against typical human behaviour. There were only a few members of the management team that actually knew how to do their job properly and actually treated members of staff with the same respect that they would be expected to be treated with.,I found that it was discouraged to voice your real opinion even when asked for it if it completely disagreed with what they wanted it to be and were in fact punished when showing any kind of initiative. There isn't any room for progression although they say otherwise, it doesn't appear that hard work is rewarded it seems to be that progression only depends on length of service and not actually judged on the work and effort actually put in by that employee.,I will however say that there was one great thing about working for Allianz Group and this was that the employees below management are an amazing group of people to work with and I made some genuinely great friends.,They do also provide a great sports day and bbq in the Summer and a brilliant Christmas party all organised by the Events team. The team always put in huge amounts of effort and time to ensure that their fellow employees have a great time.",11 novembre 2014,Sales,Allianz Group
"Richmond, VA",,A very productive and dedicated company. Customers always come first in each and every department. Great place to work.,6 novembre 2014,Card Benefit Services Claims Examiner II,Allianz Group
"Chicago, IL",,Allianz is a sturdy company and I enjoy working here. The benefits are good and the employees are professional.,2 novembre 2014,Account Technician,Allianz Group
Bethlehem Offfice,,"Worked here for many years. Was involuntarily terminated due to a manager lying about hearing something I said. Management wouldn't even ask other co-workers the entire (real) story..Terminated me after many, many wonderful years..Nothing good to say about this new management in Bethlehem PA.",2 novembre 2014,Former Employee,Allianz Group
"Maidstone, ENG",,"good place to be very secure but need to pay more and reward and recognise good performers/workers,",15 octobre 2014,Underwriter SME (SAT),Allianz Group
"Trivandrum, Keralal",,"- Client document research and support.,- Ensuring that the team met the SLAs, data security, audit, quality check and governance.,- Report delivery to senior management and process owners.",14 octobre 2014,Senior Customer Service Associate - Insurance,Allianz Group
"Alpharetta, GA",,All the responsibility flows downhill and line underwriters are the lowest class of employee: no assistants and ancient faulty systems means the buck always stops with the underwriter who is held accountable for failures at every other level. I don't recommend this company. Not the most ethical company (AGCS) is run by a clique from a former company who controls the culture and favoritism abounds.,1 octobre 2014,Senior Marine Underwriter,Allianz Group
"Burbank, CA",,"Enjoy work for Allianz Group in Burbank, CA. Allianz has relocated to Chicago, Ill",23 septembre 2014,Sr. Accounting Associate,Allianz Group
"Kitchener, ON",,"Fast paced and tight on deadlines. Must exceed on fine detail as reviewing of multi insurance policies.,Management more tuned in on numbers over associate well being however in today's market productivity means higher levels on all aspects which means more numbers more positive outcome,Hardest part of job is ensuring all information is accurate and that al procedures and guidelines have been met to process an out of country medical claim",21 septembre 2014,Claims Examiner,Allianz Group
Mumbai,,"basic accounts entries, worked as account executive as for basic accounting entries purchase sales",19 septembre 2014,Senior Sales Manager,Allianz Group
"London, ENG",,"Working at Allianz is exciting and rewarding due to the different situations we assist our clients with, from travel to theft assistance.",18 septembre 2014,Customer Service Advisor,Allianz Group
"Novato, CA",,"Allianz is a great place to work.,Benefits are great,People are great,location is great",16 septembre 2014,Recruter,Allianz Group
France,,"- calculate and underwrite health and contingencies contacts,- establish and provide customers’s accounts within 5 years for commercials,- calculate indemnities of cancellation and actuarial reserves of the contract about the retirement’s new law",2 juin 2014,Analyst life insurance,Allianz Group
"London, ENG",,"As above.,A truly global network offering potential to develop projects together with colleagues based in overseas offices and to experience work in different countries or divisions. Truly committed to training and improving the skills of employees. A very solid company for those aspiring a long term career and a good learning curve for those initiating their professional life.",25 août 2014,Mid Market Energy Underwriter,Allianz Group
"Golden Valley, MN",,Enjoyed working for this company. Great benefits and work environment but starting to lose its identity with customer relationships,22 août 2014,"Enterprise Operations, Operations Manager",Allianz Group
"Mumbai, MH",,"Target oriented career, supportive back office, average management, minimal interaction with co workers due to job profile, hyper active seniors, good perks",18 août 2014,Sales Manager,Allianz Group
"Minneapolis, MN",,"Could learn anything a person wants to. Lots of opportunities for training, but not a lot of chance for advancement",5 août 2014,Workstation Engineer,Allianz Group
"New York, NY",,"Great people, not enough opportunity to grow. Senior Management is out of touch with the rest of the company. Needs more leadership and direction in the US. Difficult to differentiate between Allianz Life and PIMCO.",3 août 2014,Coordinator/Associate,Allianz Group
himayatnagar,,It was a good experience working in this company except for salary part,26 juillet 2014,Junior Executive,Allianz Group
Milton Keynes,,"Brilliant company to work for, dealing with very successful clients, awarded insurance of the decade award. Hardest part of the job is sometimes you may be required to do a similar job for a long time which may be a challenge for those who like to get involved in different task simultaneously, most enjoyable part is learning and developing daily.",25 juillet 2014,Sales Advisor,Allianz Group
"Minneapolis, MN",,North American headquarters for the world’s largest insurance company and second largest money manager; manufactures and distributes fixed and variable annuities to independent financial advisors; $10 billion in annual sales,22 juillet 2014,Sales Principal/Sales Operations Manager,Allianz Group
"New York, NY",,"As the company grow, they decided to let management go. End of story.",22 juillet 2014,Purchasing Manager,Allianz Group
