sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
 And unless you attend happy hours and rub shoulders with management, you will definitely be passed over for someone else regardless of your contributions;;;;;;;
EY is a great place to work;;;;;;;
 Colleagues are some of the smartest in the business;;;;;;;
 I've made a lot of life-long friends at EY;;;;;;;
 The work is challenging and exciting!;;;;;;;
Always something new to learn and the culture/management believes in career development and advancement;;;;;;;
Everyday is a learning experience;;;;;;;
 The co-workers at the office are good and always helpful;;;;;;;
 The management does take initiatives to make your work count;;;;;;;
A very laid back and pleasant atmosphere;;;;;;;
 I learned how to manage people through a great work relationship with my supervisor;;;;;;;
 Co-workers were great and the workload was able to be met each day;;;;;;;
 I learned about corporate purchasing and Information Technology;;;;;;;
E&Y is a great company to work;;;;;;;
 My position became redundant after the Global re-organization;;;;;;;
 I have no regrets working at this company;;;;;;;
INITIAL CAREER UPTO MIDDLE MANAGEMENT LEVEL TRAINING;;;;;;;
,4 YEARS OF EXTENSIVE TRAINING WITH AUDIT OF VARIOUS CLIENTS (LOCAL & INTERNALTIONAL);;;;;;;
,MANAGEMENT & CO-WORKERS: SUPPORTIVE;;;;;;;
A good brand name to work with;;;;;;;
 The working environment is good;;;;;;;
 Nice work place which lots of young vibrant individuals;;;;;;;
 Very lovely boss who is a good mentor;;;;;;;
 Deloitte has been a good learning experience with various trainings provided to the staff;;;;;;;
 I have been mentored and rounded into the person i am today;;;;;;;
 I have learnt people management skills , good communication skills and interpersonal skills;;;;;;;
 This is because I am currently in a supervisory role;;;;;;;
Provides numerous opportunities and allows you to become an expert in your chosen field;;;;;;;
I worked in the tier 3 escalations department for Xbox Live customers;;;;;;;
 My job was very laid back but to the point;;;;;;;
 We had a quota that had to be met daily;;;;;;;
 My supervisor was very knowledgeable;;;;;;;
A typical day I do my job, report on doing my job, show someone how I do my job, then meet about a new job that needs doing;;;;;;;
 I go over my co-worker's work, then research some Google stuff;;;;;;;
 The hardest part is being less interested in making money, and more interested in providing superfluous value for information consumers;;;;;;;
,Co-workers are so unhappy, they speak of company goals--at lunch!;;;;;;;
Typical day at work would be logging into computer/database and oversee all incoming requests by client servers;;;;;;;
 Process all incoming tax returns and ship out to IRS Agency;;;;;;;
,I learned to manage my own projects;;;;;;;
 communication, work together as a team, make executive decisions and work under pressure;;;;;;;
,Co-workers were amazing, very dependable and generous to work with, all had great positive attitude;;;;;;;
,In essence the job itself was not hard, the only challenging thing was to make sure that all the work got done in a timely manner;;;;;;;
,The most enjoyable part of my job would have been working with great co-workers;;;;;;;
 Good co-workers make it very comfortable to work with;;;;;;;
I worked on a pilot program with Google that eventually launched and became a Kindle;;;;;;;
Ernst and Young is a work environment where the learning curve is big but the reward is high;;;;;;;
 It is an environment where the ambitious and competitive individuals will shine;;;;;;;
 After going through a big 4 busy season and IPO process (80 hour work weeks), one really learns a lot about what they value in life and what they deem to be a successful career;;;;;;;
 If success to you is being high on the corporate ladder in the accounting field then big 4 will get you there;;;;;;;
 All in all it is a great opportunity and learning experience;;;;;;;
Good place but not great place to work;;;;;;;
 Could not balance my work and personal life due to too much hectic work;;;;;;;
The Trainer i was with was very agitated with me most of the time;;;;;;;
 The group i worked with swore to much, also very rude;;;;;;;
 I was warned  my first day from the manager that this group is not always so nice;;;;;;;
 There was not much chance with that group to stay if they decided they did not like you;;;;;;;
 I liked what i did, some of the people there were so nice too;;;;;;;
  I did find out they started people with a higher pay rate then myself with less experience then i had;;;;;;;
It was my first job out of college;;;;;;;
 That is all i have to say really;;;;;;;
On a day-day basis I would be interacting with clients, following up on  things like pending Annual reviews, interacting with the compliance and Due diligence team to ensure the smoothness of accounts with our clients;;;;;;;
,I have learnt how to interact with clients, co-ordinate with our regional office in Bahrain & also with our Head office in Paris;;;;;;;
 The management included of individuals who strongly believed in the capabilities of their team without having to micro manage - this allowed more room for growth & gave me confidence in my skills;;;;;;;
,The hardest part of the job would be to achieve the targets set with boundaries such as having teams in different countries and time zones (Bahrain & Paris);;;;;;;
,The most enjoyable part of the job would be the work environment - where people are there to teach & support;;;;;;;
"great training and flexibility, long hours,on job training is a plus; competitive work environment";;;;;;;
The workplace had wonderful facilities, and excellent benefits for its employees;;;;;;;
 The people I had worked with were nice, and it was a great opportunity to work with them;;;;;;;
Good Review,Best place to work,good culture and Fun place to work;;;;;;;
Data entry type;;;;;;;
Processing vehicle Insurance,Learned,1;;;;;;;
 Handling tough situations,2;;;;;;;
 Good atmosphere;;;;;;;
,Hardest Part,1;;;;;;;
Very Pressure,2;;;;;;;
Extending Time;;;;;;;
The day at Accenture is full of challenges and lot of learning;;;;;;;
,Understanding the business and their painpoints and streamlining the same with SAP HCM/success factors is a always very interesting and gives a lot of learning too;;;;;;;
,Also managing the team and leading them in the right direction is also a great thing;;;;;;;
 They need to be motivated with work;;;;;;;
,Going custom way to meet the requirement;;;;;;;
,Getting client appreciation is really enjoyable;;;;;;;
Best know provider of improvements to its client base;;;;;;;
  Global , widespread in an organization;;;;;;;
,Outsourcing,Consulting,Improvements;;;;;;;
Working with EY has been a very enriching experience for me;;;;;;;
 It has helped me develop both hard as well as the soft skills;;;;;;;
 It was a wonderful experience working with a very hardworking team in such a professional environment ;;;;;;;
More than 2;;;;;;;
5 years‰Ûª experience in IT Advisory for e-Governance projects in Big 4 consulting firm;;;;;;;
,Total 7+ years of experience in e-Governance and IT Consulting, Business Analysis, Project Management Office (PMO), Software Programming in IT organizations;;;;;;;
,Harnessed skills of Business Process Improvement, Organizational Change Management, IT Strategic Planning, Project Management, and Capacity Building for Key Government departments;;;;;;;
,Worked with Central, State government beauracrauts (Senior IAS Officers) to drive change in the system through ICT infrastructure;;;;;;;
,Managed one of top 60 US Property and Casualty Insurer account as a PMO for an Indian IT Company;;;;;;;
,Keen to explore IT consulting opportunities in Property & Casualty Insurance domain,Excellent communication, analytical, interpersonal, and presentation skills;;;;;;;
,Good team management and decision-making skills, Capability to handle client expectations;;;;;;;
A decent place to work;;;;;;;
  There is still scope for process improvement;;;;;;;
 For example, putting the resources based on their experience at relevant positions;;;;;;;
  This would motivate the employees;;;;;;;
  A mismatch in the position Vs experience discourages an employee;;;;;;;
Availability and Deployement specialist;;;;;;;
 Monitor the overall functionality of the project;;;;;;;
 Deploy properties and binaries as soon as updates are available;;;;;;;
A great place to start your career;;;;;;;
 Many opportunities provided to hard workers;;;;;;;
 The culture is very flexible and we have only laptops (i;;;;;;;
 no desktop to tie you down);;;;;;;
 Much of the work is remote;;;;;;;
 In my unit we have two work from home days a week;;;;;;;
every day is is the same, make sure all gas and chemical supplying the FAB is up to par and order anything at a low level;;;;;;;
 team work is a must sence you work with hundreds of new people and construction workers;;;;;;;
 overall it is a great place to work but a lot of jobs are dangerous and can get you hurt if you don't pay attention to detail;;;;;;;
Being able to network and having the ability to do that openly;;;;;;;
 Working in a team that is based nationally and internationally and having exposure to work with people from different cultures;;;;;;;
 Having the autonomy to manage your own workload and take on additional projects where your interests lie;;;;;;;
 Working with people who are motivated and professional in their outlook;;;;;;;
 As a professional services you had to complete a time-sheet every week with details on how you spent your time on various projects/tasks;;;;;;;
 Although you get used to it, it was something that you had to factor in during your last day at work;;;;;;;
 Thoroughly enjoyed working on Milestone events where you meet with colleagues and participants from the EMEIA area, being able to be part of a team that provides the support to making a very successful event;;;;;;;
Great company for education;;;;;;;
 Learned a lot about the entire project lifecycle and specific software applications;;;;;;;
 Also learned an immense about sales and how to operate on a client site;;;;;;;
answered inbound and outbound calls in call centre;;;;;;;
 liased with customers also face to face;;;;;;;
,Achieved sales and retention targets regularly;;;;;;;
,Enjoyable company to work for and great career options and benefits;;;;;;;
The team stayed together late very day, everyone was hard- working and efficient;;;;;;;
 I felt comfortable being with them, and learnt a lot of from everyone;;;;;;;
Accenture is a great place to work;;;;;;;
 It has a great work/life balance and I am very lucky to h ave been chosen to be a part of their family;;;;;;;
Worked across cross domains,Got good ranks and promotions,Undergone good tranings,Vast coverage to knowledge;;;;;;;
Great people but not the greatest pay;;;;;;;
 Lots of room for advancement;;;;;;;
 Good reputation;;;;;;;
 No performance incentives;;;;;;;
Just working on client projects is not enough to succeed in Deloitte;;;;;;;
 The candidate must learn to network, and work on firm/local office initiatives apart from client work;;;;;;;
,Majority of employees are very talented, and there is no time to relax;;;;;;;
 Everyone seeks out for new opportunities within the firm, and so the competition to be rated as top performer is very high;;;;;;;
,So far I have been involved mostly in improving the business processes of clients, and more specifically in the area of product/service delivery;;;;;;;
 This also incorporates project management,;;;;;;;
Great experience working in High Tech;;;;;;;
 Constantly improving how work gets done, finding ways to be more efficient;;;;;;;
 ,worked 18 years Full time and 3 years as a contractor for MSFT;;;;;;;
Their Bell curve philosophy is very bad and because of which many talented people who were targeted by their manager left the firm;;;;;;;
 Salary benefits are not good;;;;;;;
we worked in quik step, so many employee felt stressful, but in the same time, we got many opportunities worked in many different engagement and also received higher salary;;;;;;;
Very aggressive and supportive management helps you to learn new things;;;;;;;
 Large pool of knowledge;;;;;;;
 The environment helps you to challenge yourself daily,;;;;;;;
> Learned Team Management ,> Learned how to deliver the project within the stipulated time frame;;;;;;;
,> The most challenge part is done projects without the SME;;;;;;;
Competitive work world,,A lot to learn while working,,Co-workers are very supportive,,fast responsive staff for troubleshooting;;;;;;;
Microsoft Retail is a growing company with lots of room to expand and move up;;;;;;;
 My role was maintaining and correcting inventory levels, ordering products as well as giving the highest level of customer service possible;;;;;;;
it was good for improving our knowledge,im working on testing domain;;;;;;;
 gaining knowlege, my co workers , management team everyu is good,n=most enjoyable part is team lunch team outing;;;;;;;
- Self motivating and learning,- Team work and co ordination,- Updating through various media,- Sharing the gathered information's with teammates,- Guiding and motivating team when in need;;;;;;;
40 hour work week;;;;;;;
 8 hours in front of a computer;;;;;;;
 Typeset and format e-books;;;;;;;
 That's about all there is to it;;;;;;;
 day in, day out;;;;;;;
Typical day at work is consulting with the school systems of florida on pension and financial security for their employees;;;;;;;
We have start up meeting to set up schedule;;;;;;;
 I have been trained on multiple machines and different aspects of quality control;;;;;;;
The management is somewhat relaxed;;;;;;;
It has been interesting to learn new machines;;;;;;;
It's really busy as an auditor,you have lot's of works and you have to travel;;;;;;;
But you can communicate with different kinds of person because of your work,and there's new challenges each day;;;;;;;
Team work is important and you may feel happy since you know you are growing each day;;;;;;;
The most enjoyable part of the job was working alongside my colleagues and learning from them;;;;;;;
The hardest part is you need to finish high-quality worksheet in very tight time;;;;;;;
You need to get the most important information to support a professional conclusion;;;;;;;
Fun place to work in public sector,decent management,decent work life balance;;;;;;;
Ideally we strive to add value to our clients by not simply being a vendor but rather a business partner, to help them define, map and enable their long term strategy;;;;;;;
,A normal day in the office means being at the client on an engagement;;;;;;;
",I am learning everyday about different clients and there business, ""how"" they do what they do and most importantly ""why"" they do what they do, in the form of their vision mission and values";;;;;;;
,This gives us insight into what motivates them;;;;;;;
,As a manager we have to multi task managing resources on an engagement as well as client deliverables;;;;;;;
"•Ä÷	Migrating of server from server 2003 to 2008";;;;;;;
",•Ä÷	Commissioning and Decommissioning of server";;;;;;;
",•Ä÷	Upgrading the hardware in the server";;;;;;;
",•Ä÷	Call logged for servers to vendors for Hardware related issues";;;;;;;
",•Ä÷	Conduct the resilience activity once in a quarter";;;;;;;
",•Ä÷	Maintain the privilege access register in the server";;;;;;;
",•Ä÷	Preventive maintenance activity once in a month for servers";;;;;;;
Accenture is an excellent company with great opportunities;;;;;;;
  The hardest part is that you do not get an opportunity to build relationships with your managers;;;;;;;
learned and improvised skills, updated my skills forte with new capabilities, managing teams and conducting performance audits, cross team functioning and management;;;;;;;
Fun Work place with highly supportive management;;;;;;;
 Not all about the numbers but how I have personally grown and developed myself as a professional and as well as an individual;;;;;;;
 Decent amount of red tape and politics, but this is expected of a big company;;;;;;;
My first really job as I graduated;;;;;;;
 I learned the customer service skill, but I had great co-workers who coached me;;;;;;;
 Enjoyed helping others and helping my customers find solutions to their problems;;;;;;;
5 years of experience in ETL Tool Informatica for Data Conversion,Data Waherhousing and Data Migration Projects;;;;;;;
 Along with that have exposure to the integrations projects with other cloud based like Salesforce;;;;;;;
 Working on Agile Model of implementation;;;;;;;
Worked on ETL and data extraction processes from DB2 to PostgreSQL;;;;;;;
Worked in execution of project development Life Cycle Phases like Analysis, Design, Coding & Unit testing;;;;;;;
Involved in the profiling of the source data (Salesforce, DB2 and Flat files) using the Informatica Data Explorer tool;;;;;;;
Deloitte is a great company to work for;;;;;;;
 There are plenty of options if you're trying to move up;;;;;;;
 The services group, however, is a bit more difficult to make the move up because the department is much smaller in comparison to other groups such as Consulting or Audit;;;;;;;
 Compensation is highly competitive and they offer great benefits;;;;;;;
 Definitely a great place to work if you're looking for a corporate America lifestyle;;;;;;;
 The work is a bit bland, but manageable;;;;;;;
Great Company makes coming to work fun;;;;;;;
 Only cons is pay, vacation and advancement seems to be base on how long you have been with the company and not how hard you are working;;;;;;;
It was an enjoyable time working for Microsoft's Xbox Support team;;;;;;;
 I gained many skills such as customer call etiquette, professional (but personable) email composition, and time:work load management;;;;;;;
 My co-workers and managers were all very pleasant people;;;;;;;
 The environment was positive and friendly;;;;;;;
" The hardest part of this job was giving the customer a ""hard message"" or basically telling the customer that there is nothing we can do to help due to policy";;;;;;;
 Many customers do no respond well to this no matter how the news is broken;;;;;;;
 However, it was very rewarding hearing from customers we were able to help resolve issues for;;;;;;;
 It's great being recognized for your hard work and perseverance;;;;;;;
Its multicultural environment and its salary package with all the benefits we were granted, made it and excellent place to work;;;;;;;
Microsoft is a challenging and rewarding place to work;;;;;;;
 The company's compensation and benefits are good and ample learning and growth opportunities are available;;;;;;;
 The quality of management is sheerly dependent upon the group, the hardest part of the job is navigating and influencing change in such a large organization, and the most enjoyable part of the job is the company's general willingness to allow its employees to work from outside of the office;;;;;;;
Always busy at work learning new things daily and daily interaction with US counterpart helped me a lot understand their culture and learnt so many new things from them;;;;;;;
-A typical day at work is fun, creative, sometimes crucial;;;;;;;
,-I've learned so much thing specially in work related jobs, like dealing with vendors/ suppliers;;;;;;;
,-The management of the company is good;;;;;;;
,-My co-workers is fun to be with, it build friendship and a team;;;;;;;
,-The hardest part of the job is when the month end comes all of the reports must be submited on time;;;;;;;
,-The most enjoyable part is when you're having your free time with your co-workers;;;;;;;
Here I learned to combine my language skills with business strategies;;;;;;;
,Apart from language training, I became comfortable with using technology for teaching and training;;;;;;;
 I worked on a lot of transliteration projects and picked up soft skills training here;;;;;;;
Accenture is really Employee friendly Company where we have our own space to establish our skills in projects  and apply our ideas;;;;;;;
 ,They encourage Team work, they give more flexibility in work;;;;;;;
,Fun related activities will be conducted twice a week for our stress burst and cultural programs;;;;;;;
 ,We have regular connect with our leads to understand our problems they try to establish good relationship with every resource;;;;;;;
I like the working environment, people are good there, will answer your question, and everyone has job to do, very busy during busy season;;;;;;;
Good Place to Start your Career;;;;;;;
  Management Rewards for your hard work and Contribution;;;;;;;
  Plenty of Growth and very Smart People to work side by side with;;;;;;;
good learning and different technology and fun work place with supportive management and most enjoyable part of the job was working alongside;;;;;;;
Deloitte is a fun place to work;;;;;;;
 Benefits they provide are good and has many firm activities to get involved in;;;;;;;
 The learning opportunities are vast;;;;;;;
 They provide opportunities to enroll for certified trainings from Harvard;;;;;;;
Working at Google was really fun, I never felt it as a hectic job rather, always used to enjoy it;;;;;;;
 I gained good communication skills as well as technical skills and learnt how to manage the team to make the work accomplished;;;;;;;
 Now, i know how to work and manage things to make my life easier;;;;;;;
Learnt lot of things like-,1;;;;;;;
 working effectively in larger team,2;;;;;;;
 improve technical skill,3;;;;;;;
 stress management,4;;;;;;;
 work-life balance;;;;;;;
10-12 Hrs a day,New technologies in BW,Management is good have open door policy,Co-workers are helpful,have to work on initiatives in addition to project work,Activities on the floor and various competitions;;;;;;;
Great project experience;;;;;;;
 Ability to manage your own career;;;;;;;
 Broad opportunities;;;;;;;
 Great exposure to executives;;;;;;;
If you enjoy consulting  and travel and want to become a partner, this is a good place for you;;;;;;;
There is confusion about the direction work is moving;;;;;;;
 The result is that every product transition leads to a game of musical chairs;;;;;;;
A place where you will learn a lot, but will have to work for it;;;;;;;
 The compensation is comfortable, but like the previous statement, you work for what you get;;;;;;;
 All in all though, probably one of the best places to start a career in accounting;;;;;;;
This is a great place to go after university as you really learn a lot;;;;;;;
 You can try many different clients and industries and you learn about different businesses;;;;;;;
This is one of the best firm to work for in your Life;;;;;;;
 Never miss a chance to work with Deloitte;;;;;;;
 You will have a work life balance for sure;;;;;;;
 Opportunity to learn is more;;;;;;;
 The culture is Superb;;;;;;;
The team was not set up and there were multiple delays due to which was not satisfied with the work atmosphere in EY GSS, Kerala;;;;;;;
 Hardest part of the job was to wait for the work to arrive;;;;;;;
 Enjoyable part of the job was the location;;;;;;;
Microsoft will made from any employee inside it , productive person and has responsible an down his business also the company will give a chance to the employee to share his opinion  and feedback ;;;;;;;
Accenture is a wonderful company to work for, or so I'm told;;;;;;;
  I have been there since they purchased the company I worked for almost five years ago;;;;;;;
  The healthcare benefits are some of the best you will find, and the work load is enough to keep the overtime hours coming;;;;;;;
  However, there is very little room for advancement, as the term Senior Analyst only goes to those who actually are performing a supervisor/management role, and then team lead goes to the actual manager of the team;;;;;;;
  There will be one manager for a whole department;;;;;;;
  This is not the way it should be, as senior analyst should be given to people that have been there for a certain time, such as three years and have a proven track record;;;;;;;
  Team leads should then be a supervisor and manager should be the person managing the team;;;;;;;
  This would open up a lot more advancement (well short term but why do that when you can keep paying people less than $20/hour;;;;;;;
Not enough work to keep busy with a toxic environment;;;;;;;
  Enjoyed some of the people but the environment is based on $, and not good people;;;;;;;
8 hour work days at Nissan came easy to me, as I am young and quite capable at the job;;;;;;;
 I've learned a lot from the company from my time being there and my hand skills have only increased from the experience;;;;;;;
" My co-workers were all older than me, but I came to fit in well with them; my manager/supervisor was laid back for the most part, but knew when to be serious when it came to work and getting things taken care of";;;;;;;
Like most of the service based companies, life here is based on the Project and Client;;;;;;;
 There is no work life balance;;;;;;;
We will have a opportunity to learn many things but there won't be enough time;;;;;;;
good company but I want to return to my field (oil & gas),day starts with TB Talks,trainings provide on line by internal links (periodically),good managements for safety statistics ,cooperation from co-workers are taking place,work not related to my basic qualifications (Petroleum Field),safety standards have been updated regarding to international & national regulations;;;;;;;
CPA firm had excellent management, my supervisor was an excellent teacher (never worked for a CPA firm before);;;;;;;
Great place to work until you find out to be competitive they are shifting roles offshore;;;;;;;
I have enjoyed 3 years working in Accenture;;;;;;;
 I have learned lot of things in Accenture;;;;;;;
 Worklife balance is very good;;;;;;;
 For fresher this is good company to start up;;;;;;;
Great Place to work and work culture is good;;;;;;;
More flexible in working and mangers are really good people;;;;;;;
 Accenture policies are created in good manner for people ;;;;;;;
If you want to work for a company that has a lot of fascinating and intelligent folks then you want to work for Microsoft;;;;;;;
 Can be a great place to work if you find your niche;;;;;;;
 Benefits are better if you live and work in the Redmond area however the company benefits are good, the work can be rewarding and compensation is pretty good;;;;;;;
,The company is very large so there are many internal places to go should you decide to change jobs;;;;;;;
Varied from kitchen work to behind the bar where I learned responsibilities that may transfer to the business world;;;;;;;
 My experiences taught me a great deal while working here;;;;;;;
- Day starts with team lead assigning the tasks,- Opportunity to explore new things as a beginner,- Checking the 13F filings and comparing the prices;;;;;;;
This was my first job out of college, and I had a great experience;;;;;;;
 The work I was on was challenging, and I felt like I was always learning;;;;;;;
 I was on a couple traveling projects that take a toll on your work/life balance;;;;;;;
Great company with cutting edge solutions;;;;;;;
  Had some great mentors and some aggressive ones, but overall a very good experience;;;;;;;
Great company, challenging work ;;;;;;;
,Office politics and stack ranking needs to be controlled;;;;;;;
A typical day at work would be having a set task lists including reviewing of accounting processes;;;;;;;
 These would be Credit Card Chargeback Reporting, Cash Reconciliation Review, Journal Entry Review;;;;;;;
 I learned a lot about Corporate Accounting and developed a skill set in Accounts Receivables and Cash Management;;;;;;;
 I learned how to research and fix misapplied funds and use what I learned to educate the team;;;;;;;
 My co-workers were incredible, supportive and we would help each other out a lot;;;;;;;
 The hardest part of my job was termination and performance issues involving employees;;;;;;;
 The most enjoyable part of my job was the fast pace, the continual knowledge, new processes and flexibility;;;;;;;
One of the great place to work;;;;;;;
 The only reason I am looking for a change for better career perspective;;;;;;;
Target oriented career, supportive back office, average management, minimal interaction with co workers due to job profile, hyper active seniors, good perks;;;;;;;
I am thankful to Microsoft for giving me the exemptional foundation that enables me to work in any industry and learn any application and become exceptional at testing, support and implementation of applications;;;;;;;
,The cubicle had multiple workstations and the ability to create a mini-network environment unique to the site I was supporting;;;;;;;
,Co-workers were always willing to share information;;;;;;;
,Management supported employees and encouraged growth;;;;;;;
,Learning new products, working with development, writing knowledge base articles and providing customer feedback, along with creating and providing training to fellow collegues and other disciplines were very enjoyable;;;;;;;
During my stint at EY I grew from a freshly qualified CA to a matured professional with a deep understanding of different industries that I have worked for;;;;;;;
 Its a place that offers you so many learning opportunities across various industries where you rub shoulders with the best professionals in the industry;;;;;;;
Employee friendly,Great place to work with,best place,comfortable environment,upgradation of skills,trainings regular,Bets Project Managers and Co workers;;;;;;;
The Training we were initially given was dismal;;;;;;;
 We were pushed out on the floor and literally had to learn and fend for ourselves;;;;;;;
 ,The Managers had never done our Job so we could never ask them for advice, they were only good at barking orders and putting pressure on us to work harder;;;;;;;
 ,The Lady who was running the operation had no idea what she was doing, which did not help matters and was always putting the blame onto every one else to try and cover up her mistakes;;;;;;;
 ,Over all the workers I worked with made the place which made my day enjoyable;;;;;;;
,On a positive note I pushed myself and focused and learnt alot about Microsoft products, Office 365 in perticular;;;;;;;
 I improved my customer Service skills which is good knowledge to have for future Jobs;;;;;;;
Great training and great experiences working on engagements with F500 companies;;;;;;;
,Very competitive at year end reviews;;;;;;;
",Too much emphasis on ""extracurricular"" Firm Activities rather than engagement performance";;;;;;;
I did learn everything about Microsoft licensing;;;;;;;
 Very interesting,I used to call clients to make a review of their licenses,Really good atmosphere at work,Managers were so professionals;;;;;;;
If you want to work for management that has favorites, is dishonest and uneducated on today's computer technology, then you found the right place to work;;;;;;;
 If you can deal with the poor management then good for you, but the bullying by other employees might deter you from wanting to work there;;;;;;;
 Plenty of nice people, but the negative, nasty people with the strong personalities will make you wonder if you are back in high school;;;;;;;
 If you are tough and can take it then just be ware that this part of the company is being sold off;;;;;;;
 At least in high school you are guaranteed 4 years;;;;;;;
 Fireman's Fund, not so much!;;;;;;;
Great work environment;;;;;;;
 Learnt to interact with people from various cultural background;;;;;;;
 Facilities and services were good and the co-workers were very helpful;;;;;;;
I would say that Accenture is a very good organization provided one can bargain at the time of employment ;;;;;;;
 Apart from that there are various divisions like IO and AO which one should be careful about since it might demarcate their career graph;;;;;;;
 In IO there is no scope for technical improvement;;;;;;;
 Overall it is a nice organization ;;;;;;;
This job needs a lot of dedication and hard work relentlessly;;;;;;;
A great organization to be a part of;;;;;;;
 The opportunities are there to be taken, experiences at EY are what the inividual chooses to make of them;;;;;;;
It was a great learning for me in the company, pertaining to administrative skills, the reason why i learnt these things is because of my interest and the overwhelming support which was provided to me by my superiors;;;;;;;
,            Their great leadership will be remembered for a longer period of time in my heart, the environment which we got in  the company is incredible;;;;;;;
 We used to have lot of interaction with the managers, senior managers etc, so it is very difficult for me to forget  those days;;;;;;;
 The personality development sessions helped us a lot in   interacting with people professionally;;;;;;;
,           When it comes to learning, the learning is a part of life and it cannot be stopped at any cost;;;;;;;
 We should be open to learning and we should create the awareness in the minds of the people about the learning and i personally believe that in order to become extraordinary in life continuous efforts are needed;;;;;;;
Our values,Who we are,People who demonstrate integrity, respect, and teaming;;;;;;;
,People with energy, enthusiasm, and the courage to lead;;;;;;;
,People who build relationships based on doing the right thing;;;;;;;
,Our values define who we are;;;;;;;
 They are the fundamental beliefs of our global organisation;;;;;;;
 They guide our actions and behaviour;;;;;;;
 They influence the way we work with each other ‰ÛÒ and the way we serve our clients and engage with our communities;;;;;;;
,Every day, each one of us makes choices and decisions that directly affect the way we experience each other and the way our clients and wider communities experience us;;;;;;;
 Our values give us confidence that we are using the same principles to help us make these decisions throughout our global organisation;;;;;;;
,Every year, we celebrate the way we live our values through our Chairman‰Ûªs Values Award;;;;;;;
 Through this award, we give our people the opportunity to recognise their colleagues who are bringing our values to life every day;;;;;;;
 This is an important way in which we are building our shared culture, founded on our strong commitment to our values;;;;;;;
An exciting place to work that is changing constantly and innovating;;;;;;;
 Going through a cultural change for the positive;;;;;;;
 Opportunity to learn and grow and work in different parts of the company;;;;;;;
 Very diverse and multi-national workforce;;;;;;;
Awful culture, awful environment, very poor compensation;;;;;;;
Excellent leadership team who drives the production environment with fun and motivation, concentration of motivation factor is excellent in Accenture;;;;;;;
Typical day was to attend meetings in the morning;;;;;;;
,Followed by doing day-to-day calculations;;;;;;;
,Creating powerpoint;;;;;;;
,Presenting powerpoint to management;;;;;;;
My team is good;;;;;;;
 I have  learned so many thing hear;;;;;;;
 Hear i like cab facility n food;;;;;;;
In my team we r just like a family;;;;;;;
 Hear i am enjoying like home;;;;;;;
Challenging/dynamic environment;;;;;;;
 Requires strong collaboration and internal influencing skills;;;;;;;
 Fast paced, demanding environment in which highly adaptive work style is valued;;;;;;;
Its no wonder Microsoft have such a good name;;;;;;;
 Their people are smart and work hard;;;;;;;
 They have a fantastic working environment and treat each employee with the utmost respect;;;;;;;
I have learned a lot from seniors and from management like how to work in corporate office  ;;;;;;;
and how to behave others in corporate office;;;;;;;
I've learned tons from this company;;;;;;;
 Very good place to work if you're looking to grow professionally;;;;;;;
I have a learned alot while working as both in the Human Resource and Resource management area at Deloitte;;;;;;;
 I currently perform a dual role so play different hats;;;;;;;
 I have great visability with leadership and work closely over 300 resources on a daily basis;;;;;;;
 I help manage a service line;;;;;;;
 I have worked in all aspects of HR and I feel I have a breath of knowledge in the HR area;;;;;;;
 I have many years of experience;;;;;;;
 I have a wide range of analytical skills as well as strategic skills;;;;;;;
 The hardest part of my job is to keep up with the email traffic and ensure I get back to each and every employee, the most enjoyable is helping my resources through any issues they have and seeing them be successful at the company;;;;;;;
 I love working on the Human Resources area as it exposes me to so many different types of people at so many different types of levels;;;;;;;
Working at Accenture is fun  but  work load is uneven and could be too much for 1 day and there could be nothing much to do for some days;;;;;;;
Management and co-workers are supportive and very nice to get along with;;;;;;;
,Would love to work again with the company;;;;;;;
They have many nice and filthy rich projects;;;;;;;
Salary is low;;;;;;;
 but the work quality and work culture is good;;;;;;;
 yes good opportunities to learn but no bonus;;;;;;;
Allowed me to have a good career start;;;;;;;
 The program experience enable me to learn technical skill quickly and be able to play a leadership role after 2 years of working;;;;;;;
It's a fantastic workplace;;;;;;;
  Great group of smart people and a very relaxed work environment;;;;;;;
  However, as with most large companies, there are plenty of politics and direction becomes muddied;;;;;;;
I love the fact that they take the time to properly train the new employees;;;;;;;
,they have a lot of support and tools to get you through the training and succeed in your work;;;;;;;
I engaged in this job after I acquired my accounting degree;;;;;;;
,This is E&Y's Chinese head office which allocated in the centre of China's capital city-- Beijing;;;;;;;
,From the time of being an auditing apprentice, I found auditors in Chinese is extremely busy;;;;;;;
 But influenced by E&Y's enterprise culture, everyone in the team enjoy the daily work, and the task allocation and its time management make them feel their job is meaningful;;;;;;;
,The three month work in E&Y provide me a window to international accounting firms, and which enhanced my willing to be an export in this career;;;;;;;
Great company, great training, great facilities;;;;;;;
 The position was commission based so not ideal for long term sustainability;;;;;;;
working as an intern at microsoft was always fun, peers were every supportive;;;;;;;
 The training sessions were always so informative;;;;;;;
 The hardest part of the job was to create apps over night and presenting it to boss on office 360;;;;;;;
 The best part was winning the windows hackathon (2012) in our region karachi;;;;;;;
EY is the best place for a young professional to learn and taking large responsibilities;;;;;;;
 Great opportunity of personal growth;;;;;;;
I was there on a temporary basis from May to December 2012;;;;;;;
 Very enjoyable place to work in and nice co-workers in general;;;;;;;
